127.0.0.1, 2017-02-05 01:48:45, GET, /admin/default/design/HelloWorldWeb2Py, HTTP/1.1, 200, 0.842000
127.0.0.1, 2017-02-05 01:48:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:49:46, GET, /admin/default/peek/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.110000
127.0.0.1, 2017-02-05 01:49:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/default/edit/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.720000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.065000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.102000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.137000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.050000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.157000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.082000
